Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location Where Sexual Violence Was Committed,Reported Perpetrator,Perpetrator Group Name,Single And Group Perpetrators,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of Reported Victims,Reported Deaths Following the Sexual Violence,SIND Event ID
20-02-2023,February 2023: A girl was reportedly raped and killed by suspected Ambazonian Separatists after being accused of collaborating with the military. ,Cameroon,CMR,West,5.532386964,10.19082246,(2) 25 km Precision ,No Information,NSA,Ambazonian Separatists,Group Perpetrator,Knife,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,1,38177
15-02-2023,February 2023: Two women were raped by Rapid Support Forces near a refugee camp whilst collecting firewood. ,Sudan,SDN,North Darfur State,13.48401076,25.30750573,(2) 25 km Precision ,"Street, Road or Field",Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,38212
15-02-2023,February 2023: A girl was raped by a drug trafficker. Police arrested the man and seized drugs and stolen objects. ,Brazil,BRA,S?úo Paulo,-23.2076,-46.7891,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Single Rape/sv Assault ,1,,38786
15-02-2023,February 2023: Two women were beaten and raped by armed men while they were out fetching firewood. ,Sudan,SDN,North Darfur State,13.30017706,25.09989736,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,38210
14-02-2023,February 2023: Three women were raped by gunmen while on their way to collect firewood.,Sudan,SDN,South Darfur State,12.69259321,24.99317593,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, Adult, ",Rape,CRSV,Mass SV Assault,3,,38209
13-02-2023,February 2023: A girl was sexually abused and threatened by a security guard. The guard was arrested five days later.,Paraguay,PRY,Regi??n Oriental,-25.50971771,-54.61106305,(2) 25 km Precision ,Other,Other,Private security,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",SexualAssault,SV by security personnel,Single Rape/sv Assault ,1,,38785
13-02-2023,February 2023: Two women were raped and killed by M23 and RDF members.,DRC,COD,North Kivu,-1.203021814,29.13018457,(2) 25 km Precision ,No Information,Multiple,"March 23 Movement, Rwanda Defence Forces",Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,2,38188
13-02-2023,February 2023: A patient was kidnapped from a hospital and sexually assaulted by three Sudanese Armed Forces (SAF) posing as doctors. ,Sudan,SDN,Blue Nile State,11.80837923,34.36643629,(2) 25 km Precision ,In Captivity,Armed Forces of Government or Self-Declared Government,Sudanese Armed Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Gang SV Assault,1,,38208
12-02-2023,February 2023: A woman was kidnapped and raped by suspected Icelander cult militia members. ,Nigeria,NGA,Rivers State,5.1544,6.6362,(2) 25 km Precision ,No Information,NSA,Militia,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,38477
12-02-2023,February 2023: A teacher was sexually assaulted by four individuals.,Kenya,KEN,Turkana County,1.774437426,35.50540907,(2) 25 km Precision ,No Information,No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Educator,Female,"Adult, ",SexualAssault,Educator Experienced Sexual Violence,Gang SV Assault,1,,38784
12-02-2023,"February 2023: Five search and rescue volunteers, were detained and sexually assaulted by police. ",Turkey,TUR,Southeastern Anatolia Region,37.76582963,38.25653375,(2) 25 km Precision ,Under Arrest/Detention,Police,Turkish Police Force,Group Perpetrator,Fist and Foot,Aid Worker,Unclear,"Adult, ",StrippedNaked/TornClothes,SV by security personnel,Intimation,5,,38525
12-02-2023,"February 2023: Women were raped by armed men during an attack across four villages, allegedly concerning they land they were settled on.",Uganda,UGA,Hoima,1.628503835,31.31377872,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,11,,38523
11-02-2023,February 2023: A complainant of a rape case was raped by a policeman on the pretext of assisting with the investigation.,Pakistan,PAK,Punjab,31.47960493,74.38188317,(2) 25 km Precision ,"Public Building, Market or Public Area",Police,Pakistan Police,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,38476
09-02-2023,February 2023: A woman was reportedly sexually assaulted and killed by ISWAP or Boko Haram.,Cameroon,CMR,Far-North,11.00514619,13.80123157,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Gang SV Assault,1,1,38176
08-02-2023,"February 2023: A teen was reportedly tortured and sexually assaulted whilst detained by police forces. 
",Iran,IRN,Sistan and Baluchestan Province,29.4957923,60.86425631,(2) 25 km Precision ,No Information,Police,Law Enforcement Forces of Islamic Republic of Iran,Group Perpetrator,Firearms,Civilian,Male,"Adult, ",SexualAssault,SV by security personnel,Gang SV Assault,1,,38251
07-02-2023,February 2023: Two women were raped at gunpoint by militiamen while collecting firewood.,Sudan,SDN,North Darfur State,13.43019601,23.80908985,(2) 25 km Precision ,"Street, Road or Field",NSA,Militia,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,38475
07-02-2023,February 2023: A girl was raped by four armed men while returning home from fetching water. Three of the alleged perpetrators were arrested.,Sudan,SDN,North Darfur State,14.58092535,23.07953484,"(3) District, Communicipality or Commune ","Street, Road or Field",Civilian,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,,Gang SV Assault,1,,38201
07-02-2023,February 2023: A civilian was raped in their field by an Armed Forces of the Democratic Republic of the Congo (FARDC) soldier. ,DRC,COD,North Kivu,0.657448646,29.48618895,(2) 25 km Precision ,"Street, Road or Field",Armed Forces of Government or Self-Declared Government,Forces Arm??es de la R??publique D??mocratique du Congo,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,38187
06-02-2023,February 2023: A female nursing student was slapped and sexually assaulted by a college employee at a medical college. Nursing students then went on strike and the hospital suspended the perpetrator pending an investigation.,Bangladesh,BGD,Barishal Division,22.68626113,90.36137939,(2) 25 km Precision ,Health Facility,Employee,Employee,Single Serpetrator,Fist and Foot,Health Worker,Female,"Adult, ",SexualAssault,Health Workers Experienced Sexual Violence,Single Rape/sv Assault ,1,,37426
06-02-2023,February 2023: A woman was reportedly sexually assaulted by an Imbonerakure after she sought shelter from the rain.,Burundi,BDI,Karuzi,-3.04511499,30.15921948,(2) 25 km Precision ,"Street, Road or Field",NSA,Imbonerakure (Burundi),Single Serpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Single Rape/sv Assault ,1,,38174
06-02-2023,February 2023: A minor was reportedly sexually assaulted by three Imbonerakure members. The victim was taken to hospital and the perpetrators were taken by other Imbonerakure. ,Burundi,BDI,Bujumbura Rural Province,-3.293053961,29.30637209,(2) 25 km Precision ,No Information,NSA,Imbonerakure (Burundi),Group Perpetrator,Firearms,Civilian,Female,"Minor, ",SexualAssault,CRSV,Gang SV Assault,1,,38175
02-02-2023,"As reported on, 02 February 2023: A prisoner of war was stripped naked and threatened with castration by a Russian colonel. ",Ukraine,UKR,Zaporizhia Oblast,47.36260648,36.6509913,(2) 25 km Precision ,"Victims Home, Aid office or compound",Foreign Force: Military,Armed Forces of the Russian Federation,Group Perpetrator,Firearms,Civilian,Male,"Adult, ",StrippedNaked/TornClothes,SV by security personnel,Intimation,1,,38228
01-02-2023,"February 2023: A nurse was stabbed and an patient guard raped when a health facility was broken into. Patient's medication, money, phones, and other valuables were stolen.",DRC,COD,North Kivu,-1.731595787,28.72717737,"(3) District, Communicipality or Commune ",Health Facility,NSA,R??sistants Patriotes Congolais/Force de frappe,Group Perpetrator,Knife,Health Worker,ProbablyFemale,"Adult, ",Rape,Health Workers Experienced Sexual Violence,Gang SV Assault,1,,41031
01-02-2023,February 2023: A woman was killed and found naked with signs of torture.,Mexico,MEX,Veracruz,21.33495217,-97.75754929,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,CRSV,Intimation,1,1,38787
30-01-2023,January 2023: A woman was robbed and raped by a police officer. Police on duty and the perpetrator were all arrested and one was charged.  ,Jamaica,JAM,Cornwall County,18.02688373,-77.84821985,(2) 25 km Precision ,No Information,Police,Jamaica Constabulary Force,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,37381
28-01-2023,January 2023: Three girls herding cows were raped by military soldiers.,Myanmar,MMR,Magway,21.39426207,94.66094368,(2) 25 km Precision ,"Street, Road or Field",Armed Forces of Government or Self-Declared Government,Myanmar Armed Forces,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Mass SV Assault,3,,37383
27-01-2023,January 2023: A child was allegedly raped by a member of the community policing forum.,Kenya,KEN,Kisii,-0.750052963,34.71997261,(2) 25 km Precision ,No Information,Police,Kenya Police,Single Serpetrator,No Information on the Weapon Used,Civilian,Female,"Minor, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,37384
27-01-2023,January 2023: A woman was raped by two armed men while collecting firewood with two other women who managed to escape.,Sudan,SDN,Central Darfur,12.9699,24.0577,(2) 25 km Precision ,"Street, Road or Field",Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,37376
23-01-2023,January 2023: A woman was raped by an Eritrean soldier who threatened to kill her after the attack. ,Ethiopia,ETH,Tigray,14.5256362,39.3870998,(2) 25 km Precision ,No Information,Foreign Force: Military,Eritrean Defence Forces,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Single Rape/sv Assault ,1,,38195
23-01-2023,January 2023: Three women were raped by Boko Haram while looking for firewood.,Cameroon,CMR,Far-North,11.23489613,14.12558518,(2) 25 km Precision ,"Street, Road or Field",NSA,Boko Haram,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,37356
23-01-2023,January 2023: A minor was raped by a National Council for the Defense of Democracy - Forces for the Defense of Democracy (CNDD-FDD) member. ,Burundi,BDI,Karuzi,-3.030201434,30.16076449,(2) 25 km Precision ,No Information,NSA,Conseil National Pour la D??fense de la D??mocratieÉ??Forces pour la D??fense de la D??mocratie (Burundi),Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Single Rape/sv Assault ,1,,37379
22-01-2023,January 2023: A woman was sexually assaulted and killed by suspected Imbonerakure.,Burundi,BDI,Cibitoke,-2.706264745,29.16492474,(2) 25 km Precision ,"Street, Road or Field",NSA,Conseil National Pour la D??fense de la D??mocratieÉ??Forces pour la D??fense de la D??mocratie (Burundi),Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,1,37392
20-01-2023,"As reported, January 2023: Women and girls were beaten and stripped by Mayi Mayi militia for wearing skirts that were too short. In response, an NGO held a rally.",DRC,COD,Maniema,-4.049891856,27.52899986,(2) 25 km Precision ,"Street, Road or Field",NSA,Mayi Mayi (DRC),Group Perpetrator,Firearms,Civilian,Female,"Minor, Adult, ",StrippedNaked/TornClothes,CRSV,Intimation,6,,38938
20-01-2023,January 2023: Nine female university students were raped by gunmen who raided their hostel and robbed valuables. Some of the perpetrators were reportedly arrested. ,Nigeria,NGA,Anambra State,6.246093498,7.119657962,(2) 25 km Precision ,School,Criminal,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV of Beneficiaries,Mass SV Assault,9,,37374
20-01-2023,January 2023: A farmer was raped and killed by unidentified perpetrators on her way home. ,Sudan,SDN,Central Darfur,12.96675442,24.08065841,(2) 25 km Precision ,"Street, Road or Field",No Information,Unidentified Armed Actor,No Information,Knife,Civilian,Female,"Adult, ",Rape,SV of Beneficiaries,No Information,1,1,37375
19-01-2023,"January 2023: In North Kivu province, four women were raped by about 12 M23 militia after they were intercepted whilst fleeing from the town. The men they were travelling with were tied to trees and one was shot and killed",DRC,COD,North Kivu,-1.2504197,29.0607175,(2) 25 km Precision ,"Street, Road or Field",NSA,March 23 Movement,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,4,,41636
19-01-2023,January 2023: A girl was abducted and sexually abused by an unidentified gang. She was found alive three days later.,Mexico,MEX,State of Mexico,19.4087919,-99.01817682,(2) 25 km Precision ,In Captivity,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",StrippedNaked/TornClothes,CRSV,Intimation,1,,37399
17-01-2023,January 2023: Two journalists were attacked by members of the Chechen Battalion in a hotel. The female-reporter allegedly suffered sexual violence.,Ukraine,UKR,Zaporizhia Oblast,46.8489068,35.36527458,(2) 25 km Precision ,"Public Building, Market or Public Area",Foreign Force: Military,Armed Forces of the Russian Federation,Group Perpetrator,Fist and Foot,Civilian,Female,"Adult, ",UnspecifiedActSV,SV by security personnel,Unspecified SV ,1,,37403
16-01-2023,January 2023: A mother and her daughter were raped by government forces at their house.,Ethiopia,ETH,Oromia Region,9.266558261,38.08307676,(2) 25 km Precision ,Victims Home,Armed Forces of Government or Self-Declared Government,Ethiopian National Defense Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,37406
14-01-2023,January 2023: Female political detainees were sexually harassed by police officers after their meeting was stormed. 25 members were arrested for the intent to promote public violence. ,Zimbabwe,ZWE,Harare,-17.82771697,31.05339825,(2) 25 km Precision ,Under Arrest/Detention,Police,Zimbabwe Republic Police,Group Perpetrator,Fist and Foot,Civilian,Female,"Adult, ",SexualHarassment,SV by security personnel,Not Applicable,9,,37414
13-01-2023,January 2023: An LGTQI member was assaulted and stripped naked by three assailants. Police later arrested the suspects. ,South Africa,ZAF,Western Cape,-34.0393603,18.6789896,(2) 25 km Precision ,No Information,No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",StrippedNaked/TornClothes,Other,Intimation,1,,37421
09-01-2023,January 2023: Women were sexually abused by unidentified Mai-Mai during a raid on camp. Money and good were taken and a man was threatened.,DRC,COD,South Kivu,-3.8686835,29.0937137,(2) 25 km Precision ,Refugee/IDP Settlement,NSA,Mai Mai militia,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Mass SV Assault,8,,37357
08-01-2023,"January 2023: In North Kivu province, a 28-year-old woman was raped by five M23 militia after they broke into her residence. ",DRC,COD,North Kivu,-1.2504197,29.0607175,(2) 25 km Precision ,Victims Home,NSA,March 23 Movement,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,41634
08-01-2023,"January 2023: In Tigray region, a Tigrayan woman was raped by Eritrean forces. This incident was reported on 28 September after she gave birth and suffered complications.",Ethiopia,ETH,Tigray,13.31212135,39.17449951,(2) 25 km Precision ,No Information,Foreign Force: Military,Eritrean Defence Forces,No Information,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,No Information,1,,41312
07-01-2023,January 2023: A pregnant woman was sexually assaulted by an Imbonerakure while fetching wood. The Imbonerakure was arrested. ,Burundi,BDI,Karuzi,-3.253636261,30.0682927,(2) 25 km Precision ,"Street, Road or Field",NSA,Conseil National Pour la D??fense de la D??mocratieÉ??Forces pour la D??fense de la D??mocratie (Burundi),Single Serpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Single Rape/sv Assault ,1,,37423
06-01-2023,January 2023: Seven women were raped by March 23 Movement (M23) and RDC militants. Six of the women were killed. ,DRC,COD,North Kivu,-1.130574285,29.15419205,(2) 25 km Precision ,No Information,Multiple,"Forces arm??es de la R??publique d??mocratique du Congo, March 23 Movement",Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,7,6,37387
06-01-2023,"January 2023: A girl was kidnapped and raped by three armed men, the day after Sudanese military and other parties parties signed an agreement for a power transition to civilian forces.",Sudan,SDN,Khartoum State,15.5635972,32.5349123,"(3) District, Communicipality or Commune ",In Captivity,Other,PDF Popular Defence Forces (Sudan),Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,,Gang SV Assault,1,,37389
05-01-2023,January 2023: A woman was sexually abused and killed. Her body was found a few miles away. ,Mexico,MEX,Colonia Arag??n,19.48290776,-99.11348107,(2) 25 km Precision ,No Information,No Information,Unidentified Armed Actor,No Information,Firearms,Civilian,Female,"Adult, ",SexualAssault,Other,No Information,1,1,37424
04-01-2023,January 2023: A woman was raped and killed by forest department officials.,India,IND,Bihar,24.63457379,83.95955823,(2) 25 km Precision ,"Street, Road or Field",No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,Other,Gang SV Assault,1,1,37430
04-01-2023,January 2023: A migrant who entered Turkey illegally was raped by two Turkish soldiers at a military outpost.,Turkey,TUR,Eastern Anatolia Region,38.64677418,44.16134815,(2) 25 km Precision ,"Victims Home, Aid office or compound",Armed Forces of Government or Self-Declared Government,Armed Forces of Turkey,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,37432
03-01-2023,January 2023: A number of women were raped during violence between two communities. Civilians were also killed and property stolen and torched.,South Sudan,SSD,Central Equatoria,5.2006,31.7692,(2) 25 km Precision ,No Information,Civilian,Community Members (South Sudan),Group Perpetrator,Arson,Civilian,Female,"Adult, ",Rape,Other,Mass SV Assault,10,,37380
02-01-2023,January 2023: Three civilians were kidnapped by The Democratic Forces for the Liberation of Rwanda.  Two of the hostages were raped whilst in captivity. A ransom was demanded to free the hostages. ,DRC,COD,North Kivu,-0.95696768,29.52936167,(2) 25 km Precision ,In Captivity,NSA,Forces d??mocratiques de lib??ration du Rwanda,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,37385
01-01-2023,January 2023: A man was assaulted and raped by three males in a suspected LGBT hate crime.,Kazakhstan,KAZ,Almaly District,43.25920593,76.93450325,(2) 25 km Precision ,No Information,No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Male,"Adult, ",Rape,Other,Gang SV Assault,1,,37405
01-01-2023,January 2023: A woman was sexually assaulted and killed by an unidentified armed group.,Burundi,BDI,Cibitoke,-2.882201277,29.1133189,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Gang SV Assault,1,1,37434
01-01-2023,January 2023: A girl was raped by a Russian solder.,Ukraine,UKR,Zaporizhia Oblast,46.84890313,35.36529065,(2) 25 km Precision ,No Information,Foreign Force: Military,Armed Forces of the Russian Federation,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Single Rape/sv Assault ,1,,37422
01-01-2023,January 2023: A girl was allegedy raped by a police officer.,Kenya,KEN,Nairobi County,-1.33295908,36.9009305,(2) 25 km Precision ,No Information,Police,Kenya Police,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,37401
01-01-2023,"January 2023: A girl was gang-raped by gunmen after they ambushed and attacked a group of displaced people.
",Sudan,SDN,North Darfur State,13.4004,24.3098,(2) 25 km Precision ,"Street, Road or Field",Criminal,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV of Beneficiaries,Gang SV Assault,1,,37388
25-12-2022,"December 2022: In an unnamed camp, Menake region, a girl was kidnapped and repeatedly raped by unnamed individuals for two days",Mali,MLI,M??naka,15.91823781,2.402197123,(2) 25 km Precision ,In Captivity,No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV of Beneficiaries,Gang SV Assault,1,,37053
24-12-2022,"As reported on, 24 December 2022: A nurse and civilian women were raped by two bodyguards of the Taliban district governor, then killed on charges of adultery.",Afghanistan,AFG,Samangan Province,35.635487,67.817259,(2) 25 km Precision ,No Information,Armed Forces of Government or Self-Declared Government,Islamic Emirate of Afghanistan,Group Perpetrator,Knife,"Health Worker, Civilian",Female,"Adult, Adult, ",Rape,Health Workers Experienced Sexual Violence,Mass SV Assault,2,2,37156
23-12-2022,December 2022: An unspecified number of woman were raped by Rapid Support Forces during an attack on 12 villages in the region. ,Sudan,SDN,South Darfur State,11.14606638,24.99390854,"(4) Province, State, Governorate ",No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,37151
22-12-2022,December 2022: A woman was raped by seven armed men. She died in hospital the next night.,Nigeria,NGA,Niger State,9.956072,6.83326,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,37132
18-12-2022,"December 2022: In Extreme-Nord region, a group of women were forced to strip naked and molested by Boko Haram militants. The militants subsequently stole their clothes. ",Cameroon,CMR,Far-North,11.16223457,14.01340485,(2) 25 km Precision ,No Information,NSA,Boko Haram,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,CRSV,Intimation,3,,36581
14-12-2022,"December 2022: In Nord-Ouest region, an unspecified number of girls were sexually harassed by Cameroonian military forces who were deployed to the area to secure the official mourning ceremony of the former Fon.",Cameroon,CMR,Northwest,5.961517375,10.11268973,(2) 25 km Precision ,No Information,Armed Forces of Government or Self-Declared Government,Cameroon Armed Forces,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",SexualHarassment,SV by security personnel,Not Applicable,3,,36584
11-12-2022,"December 2022: A girl was raped by unidentified clan militia, possibly related to clan disputes.",Somalia,SOM,Galgaduud,5.689782893,45.97778594,(2) 25 km Precision ,No Information,NSA,Clan,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,,37147
11-12-2022,December 2022: A woman was sexually and physically assaulted inside a private vehicle by police officers. The woman was taken to hospital afterwards. ,PNG,PNG,Southern Region,-9.44400828,147.1813059,(2) 25 km Precision ,Other,Police,Royal Papua New Guinea Constabulary,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,SV by security personnel,Gang SV Assault,1,,37161
11-12-2022, December 2022: An eight-year-old was raped by a M23 member.,DRC,COD,North Kivu,-1.298507146,29.59545173,(2) 25 km Precision ,No Information,NSA,March 23 Movement,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Single Rape/sv Assault ,1,,37047
11-12-2022,December 2022: Two women were raped by eight soldiers.,Somalia,SOM,Middle Shebelle,2.760255127,46.32217886,(2) 25 km Precision ,No Information,Foreign Force: Military,Somali Armed Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Gang SV Assault,1,,37149
10-12-2022,"As reported on, 10 December 2022: A man was sexually assaulted and threatened with rape after being arrested and sentenced to death for the murder of a Basij member during a protest.",Iran,IRN,No Information,32.54681317,54.84336419,(6) Country,"Victims Home, Aid office or compound",Armed Forces of Government or Self-Declared Government,Islamic Revolutionary Guard Corps,Group Perpetrator,Fist and Foot,Civilian,Male,"Adult, ",SexualAssault,SV by security personnel,Gang SV Assault,1,,37341
10-12-2022,December 2022: A student was raped and killed by suspected assassins. Her body was found the following day.,Nigeria,NGA,Plateau State,9.9592081,8.8684912,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,1,37880
09-12-2022,December 2022: Four women were raped by members from the Cooperative for Development of the Congo (CODECO) during a raid on their village.,DRC,COD,Ituri,2.0077,30.6549,(2) 25 km Precision ,No Information,NSA,Coalition of Congolese Democrats (Armed Wing),Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,4,,37046
08-12-2022,"As reported on, 08 December 2022: A woman was shot twice in her genitals and ten times in her inner thigh with pellets by security forces during an anti-government protest. ",Iran,IRN,No Information,32.54681317,54.14101081,(6) Country,"Street, Road or Field",Police,Law Enforcement Forces of Islamic Republic of Iran,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",CuttingOff/InjuringSexualOrgans,SV by security personnel,Gang SV Assault,1,,37162
07-12-2022,"As reported on, 07 December 2022: A woman was abducted and possibly sexually abused by a soldier whilst she was travelling. She was later rescued by police. ",Colombia,COL,Antioquia,7.976957753,-75.199012,(2) 25 km Precision ,In Captivity,Armed Forces of Government or Self-Declared Government,Armed Forces of Colombia,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Single Rape/sv Assault ,1,,37165
07-12-2022,December 2022: A female student was sexually harassed by a plainclothed Basij agent.,Iran,IRN,Razavi Khorasan,36.30954028,59.52937624,(2) 25 km Precision ,"Street, Road or Field",Armed Forces of Government or Self-Declared Government,Islamic Revolutionary Guard Corps,Group Perpetrator,Not Applicable: No Direct Violence,Civilian,Female,"Adult, ","UnspecifiedActSV, UnwantedSexualTouching",SV by security personnel,Unspecified SV ,2,,37313
06-12-2022,"Around, 06 December 2022: A woman was killed and her body was found with bullet wounds and signs of sexual abuse, likely related to criminal group activity.
",Venezuela,VEN,Zulia State,10.71483969,-71.52125347,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Gang SV Assault,1,,37178
06-12-2022,December 2022: Women were raped by an unidentified armed group who stole farm produce they had harvested. The assailants shot sporadically when they invaded the area. ,Nigeria,NGA,Federal Capital Territory,8.874895434,6.841907501,(2) 25 km Precision ,"Street, Road or Field",No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,,Mass SV Assault,6,,37820
06-12-2022,December 2022: Six women were raped by armed men across three days and their produce was stolen.,Nigeria,NGA,Federal Capital Territory,9.002840873,6.883620938,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,No Information,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,No Information,6,,37617
06-12-2022,December 2022: Women were raped by an unidentified armed group who stole farm produce from them. ,Nigeria,NGA,Federal Capital Territory,8.469655665,6.940621692,(2) 25 km Precision ,"Street, Road or Field",No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,,Mass SV Assault,6,,37822
05-12-2022,As reported on 05 December 2022: A girl and her female relative were raped by a gang inside their home. They were then threatened.,Haiti,HTI,West,18.54081465,-72.34497253,"(3) District, Communicipality or Commune ",Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, Adult, ",Rape,CRSV,Mass SV Assault,2,,37172
05-12-2022,"As reported on, 05 December 2022: A woman was raped inside her home by an armed gang. The womanÉ??s nephew was shot and killed and her husband witnessed the attack. Their house then was burned. 
",Haiti,HTI,West,18.5469991,-72.33776036,"(3) District, Communicipality or Commune ",Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Arson,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,1,37171
